Time,u_control_output,T_Reactor_Temperature,Ca_Concentration_Reactor,op_Cooling_Jacket_Temperature,ie_Integral_of_Error
2.600000000000000089e+00,2.940739443384037486e+02,3.168349152053159514e+02,9.451655911557319545e-01,2.940772853009879100e+02,1.388361598228011196e-01
2.633333333333333304e+00,2.940772853009879100e+02,3.168346106503958595e+02,9.447011282780205521e-01,2.940805082735717519e+02,1.388463116534708608e-01
2.666666666666666519e+00,2.940805082735717519e+02,3.168343168506287952e+02,9.442530437403547916e-01,3.500000000000000000e+02,0.000000000000000000e+00
2.700000000000000178e+00,3.500000000000000000e+02,3.206251015701198526e+02,9.434004891083698219e-01,3.280453503790655532e+02,2.458299476626707170e-01
2.733333333333333393e+00,3.280453503790655532e+02,3.227410660499859887e+02,9.418263352411223588e-01,3.056530163298638172e+02,1.752977983337997425e-01
2.766666666666666607e+00,3.056530163298638172e+02,3.232433010434801872e+02,9.399190309929202902e-01,3.003380812954948738e+02,1.585566318839931876e-01
2.799999999999999822e+00,3.003380812954948738e+02,3.233625538469821663e+02,9.379826342875057232e-01,2.990760806155548721e+02,1.545815384339292997e-01
2.833333333333333481e+00,2.990760806155548721e+02,3.233896634296354478e+02,9.360939036721683815e-01,2.987891916642122965e+02,1.536778856788178493e-01
2.866666666666666696e+00,2.987891916642122965e+02,3.233945819610082140e+02,9.342696492647476481e-01,2.987371409806689826e+02,1.535139346330589849e-01
2.899999999999999911e+00,2.987371409806689826e+02,3.233941990087811860e+02,9.325119739649525563e-01,2.987411935979383202e+02,1.535266997072932682e-01
2.933333333333333126e+00,2.987411935979383202e+02,3.233925942553227060e+02,9.308194808882506166e-01,2.987581760075444208e+02,1.535801914892446218e-01
2.966666666666666785e+00,2.987581760075444208e+02,3.233907512758088387e+02,9.291899997716758230e-01,2.987776794601368238e+02,1.536416241397048355e-01
3.000000000000000000e+00,2.987776794601368238e+02,3.233889055064709623e+02,9.276212424019932845e-01,2.987972124362263457e+02,1.537031497843007188e-01
3.033333333333333215e+00,2.987972124362263457e+02,3.233871117231591938e+02,9.261109581313965444e-01,2.988161952667564378e+02,1.537629425613596668e-01
3.066666666666666430e+00,2.988161952667564378e+02,3.233853811512503853e+02,9.246569688941347342e-01,2.988345091584342299e+02,1.538206282916553258e-01
3.100000000000000089e+00,2.988345091584342299e+02,3.233837145791226817e+02,9.232571752618163874e-01,2.988521457681956690e+02,1.538761806959100531e-01
3.133333333333333304e+00,2.988521457681956690e+02,3.233821103502941128e+02,9.219095556079878184e-01,2.988691226258710003e+02,1.539296549901957023e-01
3.166666666666666519e+00,2.988691226258710003e+02,3.233805662895151158e+02,9.206121636989079704e-01,2.988854627511825015e+02,1.539811236828309837e-01
3.200000000000000178e+00,2.988854627511825015e+02,3.233790801646883892e+02,9.193631259886403395e-01,2.989011897654473273e+02,1.540306611770531353e-01
3.233333333333333393e+00,2.989011897654473273e+02,3.233776497955861942e+02,9.181606389231470322e-01,2.989163267410698950e+02,1.540783401471263192e-01
